FcpaEdges, SparkEdges, Context, CallSite
1, 1, 666, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(int)>(i0)"
1, 1, 667, "virtualinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>("-2147483648")"
1, 1, 667, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>(i3)"
1, 1, 667, "staticinvoke <java.lang.Integer: void getChars(int,int,char[])>(i0, i3, $r1)"
1, 1, 667, "$i5 = staticinvoke <java.lang.Integer: int stringSize(int)>($i4)"
1, 1, 667, "$i6 = staticinvoke <java.lang.Integer: int stringSize(int)>(i0)"
1, 1, 663, "$i3 = specialinvoke r0.<java.lang.AbstractStringBuilder: int newCapacity(int)>(i0)"
1, 1, 663, "$r3 = staticinvoke <java.util.Arrays: char[] copyOf(char[],int)>($r2, $i3)"
1, 1, 664, "$i6 = specialinvoke r0.<java.lang.AbstractStringBuilder: int hugeCapacity(int)>(i2)"
1, 1, 665, "specialinvoke $r0.<java.lang.OutOfMemoryError: void <init>()>()"
1, 1, 668, "$r2 = virtualinvoke r0.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r1)"
1, 1, 660, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 661, "$r3 = specialinvoke r1.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder appendNull()>()"
1, 1, 661, "i0 = virtualinvoke r0.<java.lang.String: int length()>()"
1, 1, 661, "specialinvoke r1.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i2)"
1, 1, 661, "virtualinvoke r0.<java.lang.String: void getChars(int,int,char[],int)>(0, i0, $r2, $i3)"
1, 1, 662, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i0)"
1, 1, 687, "$i1 = staticinvoke <java.util.ArrayList: int access$000(java.util.ArrayList)>($r1)"
1, 1, 5, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 8, "specialinvoke r0.<java.util.AbstractList: void <init>()>()"
1, 1, 9, "specialinvoke r0.<java.util.AbstractCollection: void <init>()>()"
1, 1, 10, "specialinvoke r0.<java.lang.Object: void <init>()>()"
-1, 0, 738, "virtualinvoke $r0.<java.io.PrintStream: void println(java.lang.String)>("in IRS, getSalaryfromIRS")"
1, 1, 738, "r3 = interfaceinvoke $r2.<java.util.List: java.util.Iterator iterator()>()"
1, 1, 738, "$r4 = interfaceinvoke r3.<java.util.Iterator: java.lang.Object next()>()"
-1, 0, 738, "virtualinvoke $r6.<java.io.PrintStream: void println(java.lang.String)>($r7)"
-1, 0, 738, "$i0 = virtualinvoke r5.<com.ibm.example.irs.Salary: int getEmployeeId()>()"
1, 1, 738, "$r7 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r5)"
1, 1, 738, "$z0 = interfaceinvoke r3.<java.util.Iterator: boolean hasNext()>()"
-1, 1, 739, "$r1 = virtualinvoke r0.<java.lang.Object: java.lang.String toString()>()"
1, 1, 700, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 695, "i0 = virtualinvoke r0.<java.lang.String: int length()>()"
1, 1, 695, "specialinvoke r1.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i2)"
1, 1, 695, "$r3 = specialinvoke r1.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder appendNull()>()"
1, 1, 695, "virtualinvoke r0.<java.lang.String: void getChars(int,int,char[],int)>(0, i0, $r2, $i3)"
1, 1, 696, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i0)"
1, 1, 697, "$r3 = staticinvoke <java.util.Arrays: char[] copyOf(char[],int)>($r2, $i3)"
1, 1, 697, "$i3 = specialinvoke r0.<java.lang.AbstractStringBuilder: int newCapacity(int)>(i0)"
